X_S42,Y_S42
3471179,5571102
3472203,5573593
3467340,5571786
3467596,5571621
3469388,5570831
3469388,5570748
3470412,5571135
3470668,5570361
3473997,5569302
3473997,5569094
3473997,5569202
3473997,5569502
3467341,5571871
3467597,5570184
3467597,5570291
3467853,5571620
3468109,5572102
3469389,5571131
3469389,5570931
3469389,5571231
3469389,5571031
3469389,5571323
3470925,5571030
3471437,5570455
3467342,5572588
3468878,5569265
3469646,5570828
3467599,5571204
3467599,5571297
3468367,5570045
3469647,5570334
3469647,5570164
3469647,5570239
3467088,5571354
3467600,5571597
3467600,5571397
3467600,5571697
3467600,5571497
3467600,5571767
3467856,5572580
3469648,5570434
3469648,5570536
3472976,5568830
3472976,5570293
3473745,5568136
3467601,5571879
3467601,5572177
3467601,5571962
3467601,5572082
3470161,5571306
3467602,5572652
3467602,5572402
3467602,5572732
3467602,5572277
3467602,5572547
3467858,5571762
3468370,5570285
3470674,5569638
3472722,5571915
3467603,5572882
3467603,5573162
3467603,5572972
3467603,5572809
3467603,5573067
3470675,5570653
3467604,5573452
3467604,5573252
3467604,5573557
3467604,5573342
3469653,5568516
3471445,5571051
3469654,5568609
3469654,5568689
3471958,5570515
3469143,5568840
3471191,5570530
3466840,5571673
3466840,5571573
3468120,5571722
3469400,5571596
3469400,5571453
3469400,5571716
3471448,5571674
3469401,5571938
3469401,5572073
3469401,5571826
3469913,5571477
3470169,5568844
3473498,5570309
3473498,5569646
3469402,5572631
3469402,5572431
3469402,5572203
3469402,5572531
3469402,5572333
3469658,5569889
3469403,5572864
3469403,5572914
3469403,5572723
3467612,5568106
3467868,5572859
3468380,5569434
3469916,5569826
3471196,5568523
3471196,5568353
3471196,5568440
3467613,5568328
3467613,5568601
3467613,5568406
3467613,5568206
3467613,5568506
3469661,5568318
3469917,5571064
3471197,5569651
3472221,5570232
3467102,5570969
3468126,5569664
3471198,5570056
3471198,5569898
3471198,5570411
3471198,5570156
3471198,5570248
3471198,5569485
3471198,5569761
3468127,5572161
3469407,5567773
3469919,5573372
3471199,5571111
3471199,5570606
3471199,5570881
3471199,5571006
3471199,5570506
3472735,5568938
3469408,5568168
3469408,5568446
3471200,5568275
3471200,5567915
3469153,5568300
3469409,5568725
3470689,5570464
3471201,5570943
3471457,5571740
3471969,5570656
3467106,5571460
3470434,5573142
3470434,5568939
3472226,5571927
3472994,5567490
3472994,5570390
3468131,5571862
3472995,5567590
3472995,5567720
3467620,5568011
3468900,5569180
3470949,5571296
3473510,5570166
3471206,5570409
3472998,5570100
3472998,5569910
3472998,5570000
3467879,5569751
3469927,5567901
3472999,5570900
3472999,5571000
3472999,5570508
3472999,5570798
3469928,5568181
3473000,5571601
3473000,5571100
3473000,5571398
3473000,5571711
3473000,5571200
3473000,5571508
3473000,5571300
3469417,5570050
3469417,5570230
3472745,5568812
3469674,5568648
3471978,5570864
3473002,5572911
3473002,5572733
3473002,5573011
3473002,5572811
3469675,5568036
3470955,5570713
3471979,5570270
3467628,5571180
3470444,5568792
3470444,5568607
3470444,5568702
3471468,5571113
3468141,5567526
3468141,5567404
3467886,5569824
3468910,5569092
3470190,5568049
3470190,5573365
3470446,5568259
3470958,5568300
3468143,5570502
3470447,5570645
3471727,5571121
3472751,5568990
3467632,5570473
3469936,5570988
3468401,5572160
3468401,5572085
3470193,5572857
3471473,5570361
3473778,5568173
3467890,5569541
3468402,5572360
3468402,5572682
3468402,5572460
3468402,5572260
3468402,5572552
3470962,5571113
3472242,5571168
3467379,5571391
3467891,5571991
3468403,5572865
3468403,5572950
3468403,5572775
3468403,5573037
3470195,5569424
3470708,5571101
3470197,5570354
3470197,5570154
3470197,5570254
3470197,5570046
3467126,5570773
3468150,5567821
3470198,5570466
3470966,5568567
3470966,5568377
3470966,5568467
3471222,5571541
3467639,5572488
3470199,5571099
3470199,5571149
3470199,5571199
3470199,5571259
3470711,5570149
3471735,5571561
3467640,5567935
3470200,5571344
3470200,5571644
3470200,5571444
3470200,5571544
3471736,5570123
3472248,5570191
3472760,5571962
3467129,5570672
3468409,5571009
3470201,5571844
3470201,5567519
3470201,5571944
3470201,5571744
3470201,5572037
3470201,5567434
3471481,5570737
3467898,5570940
3470202,5572612
3470202,5572414
3470202,5572509
3470202,5572314
3471226,5571485
3468411,5570649
3468411,5569969
3468924,5569002
3470204,5568624
3471740,5571251
3471997,5570733
3468158,5569529
3467903,5571115
3469695,5570807
3470719,5570561
3470975,5568289
3470975,5571785
3471999,5570824
3471999,5570614
3471999,5570934
3471999,5570719
3471999,5571044
3473023,5570250
3467392,5572638
3467392,5572733
3467392,5572546
3470976,5568262
3472000,5571214
3468929,5568672
3469953,5571374
3470465,5570547
3470721,5571203
3471745,5571451
3472001,5572109
3473794,5567453
3468674,5568979
3470722,5570225
3473795,5567773
3473795,5567538
3473795,5568065
3473795,5567858
3473795,5567618
3473795,5567935
3473795,5568193
3473795,5567693
3467907,5572765
3468675,5569087
3470211,5568529
3470979,5571387
3467140,5571753
3467140,5571821
3468420,5570224
3469188,5572698
3469188,5570815
3469700,5571428
3470468,5568344
3470468,5568429
3470980,5571150
3471748,5571351
3472004,5567523
3472004,5567413
3472516,5568554
3467909,5572948
3469189,5571113
3469189,5570913
3469189,5571213
3469189,5571013
3469189,5571303
3470213,5568361
3470213,5568444
3470469,5568324
3470725,5569673
3471493,5570543
3472005,5567616
3472517,5569554
3467142,5572710
3467399,5571348
3467399,5571123
3467399,5571245
3467399,5571043
3467911,5571954
3470471,5571028
3470727,5569769
3467400,5571628
3467400,5571443
3467400,5571538
3469704,5567618
3470216,5571199
3471240,5570608
3472264,5571073
3473801,5572171
3473801,5572274
3469449,5568476
3469705,5569696
3467402,5572338
3467658,5572496
3472778,5569962
3473547,5570255
3473803,5573404
3473803,5573484
3473803,5573574
3467403,5573196
3467403,5573108
3467915,5572133
3469963,5573026
3470219,5567613
3472267,5570317
3473548,5569645
3469196,5572758
3470732,5572254
3468173,5570754
3468429,5571139
3467662,5572594
3469198,5570698
3466895,5569202
3467407,5570093
3467407,5570173
3467407,5570263
3469967,5573354
3471247,5570789
3473808,5570053
3473808,5570156
3473808,5569961
3467664,5572418
3468176,5567736
3469200,5571608
3469200,5571445
3469200,5571728
3470736,5571307
3467921,5571954
3469201,5572103
3469201,5572208
3469201,5571978
3469201,5571835
3470481,5570709
3472017,5569558
3466898,5570852
3469202,5572383
3469202,5572478
3469202,5572288
3469202,5572573
3469714,5573538
3470994,5567604
3471506,5570865
3467411,5573008
3467667,5572697
3468947,5568909
3469203,5568557
3469203,5572933
3469203,5572853
3470995,5567777
3470995,5567692
3471251,5570472
3467668,5570898
3468181,5572154
3468181,5569748
3470997,5569664
3471253,5569537
3467926,5570611
3470998,5570307
3470998,5570077
3470998,5569857
3470998,5570390
3470998,5570202
3470998,5569957
3470998,5571283
3470998,5569757
3467671,5571300
3467927,5572193
3470999,5570564
3470999,5570565
3470999,5570832
3470999,5570642
3470999,5570950
3470999,5570737
3470999,5571058
3472535,5572002
3471512,5571786
3473048,5568841
3468185,5567871
3469466,5569975
3469722,5569801
3470235,5569016
3471003,5571387
3472795,5568092
3472795,5567859
3472795,5567972
3467420,5571526
3468700,5571687
3472796,5568857
3472796,5568967
3467421,5572903
3467677,5571533
3467933,5569453
3468189,5571199
3468957,5568713
3471261,5571044
3473053,5573400
3468958,5568625
3470495,5571077
3470751,5570323
3471007,5571485
3472799,5570567
3472799,5570374
3472799,5570472
3472799,5571037
3472800,5571332
3472800,5571132
3472800,5571432
3472800,5571232
3472800,5571537
3470753,5570162
3471009,5568581
3471009,5571207
3467682,5567855
3468706,5569536
3468962,5568847
3471010,5570973
3471010,5571490
3470243,5573002
3471523,5570992
3467940,5571662
3468708,5570837
3470244,5568859
3470244,5568348
3470244,5571249
3471524,5570441
3472036,5568468
3467941,5569901
3467941,5569695
3471525,5571739
3467687,5571668
3469479,5568650
3470759,5571408
3467944,5569003
3473577,5572891
3469225,5567874
3472041,5570953
3468202,5572437
3468202,5572252
3468202,5572527
3468202,5572311
3468202,5572342
3468202,5572599
3472298,5570336
3472298,5569856
3472810,5571876
3472810,5571652
3468203,5572699
3468203,5572807
3469995,5571419
3472811,5571772
3467692,5567945
3469228,5568260
3469996,5569923
3470508,5570594
3468461,5569884
3469997,5570086
3469997,5570186
3469997,5569991
3469997,5570286
3471021,5568527
3467950,5573037
3467950,5571833
3468974,5568654
3469998,5570581
3469998,5570386
3469998,5570676
3469998,5570486
3469998,5570761
3472046,5570584
3472814,5568937
3467183,5571359
3467439,5572808
3469999,5571253
3470767,5569779
3471791,5570613
3467184,5571266
3467440,5571813
3469744,5569850
3470000,5571596
3470000,5571341
3470000,5571426
3470000,5571696
3470000,5571506
3470512,5568826
3470512,5570778
3472816,5568901
3467441,5571900
3467697,5570395
3467953,5572873
3469745,5569732
3470001,5571886
3470001,5572173
3470001,5567426
3470001,5571791
3467698,5570825
3467698,5570725
3470002,5572416
3470002,5572496
3470002,5572256
3470002,5572576
3470002,5572336
3471282,5570883
3467955,5571036
3470003,5572661
3470003,5572933
3470003,5572751
3470003,5572851
3470771,5569720
3471795,5568000
3471795,5567800
3471795,5568100
3471795,5567900
3471795,5568192
3471795,5567715
3472051,5570801
3468468,5569481
3470004,5571015
3470004,5573341
3471796,5568853
3471796,5568745
3472052,5572728
3469237,5570282
3469493,5568530
3467446,5570047
3471030,5570808
