BP_from,BP_to,X_S42,Y_S42
7550,1380,3390464,5580458
4450,4200,3561364,5538683
7550,1380,3433244,5525411
5000,4800,3467436,5556295
2563,2340,3376762,5515318
2485,2340,3442160,5477087
6150,5300,3455884,5541932
4200,2725,3380598,5498879
2485,2340,3462440,5439172
1980,1760,3536192,5577457
7550,4250,3516654,5600990
1980,1760,3464063,5557564
3200,2950,3477018,5559418
5000,4800,3471104,5550706
3200,2750,3526831,5591004
2950,2700,3557220,5535812
5000,4800,3470322,5547260
2420,1988,3528964,5529986
3250,2975,3435939,5615524
3200,2950,3376762,5515318
2563,2420,3474865,5560963
2563,2340,3475012,5557632
2485,2340,3420058,5459571
3200,2950,3411628,5593580
4200,3550,3511439,5545877
2420,1988,3447240,5438190
4200,3550,3514918,5555411
6200,2725,3550128,5556615
3200,2950,3397691,5515699
7450,6850,3387046,5587250
1980,1760,3452860,5576303
7550,1380,3373948,5547250
1760,1560,3555949,5540346
1980,1760,3510787,5605714
7550,1380,3459187,5466752
4200,3550,3518243,5533206
7450,6850,3481173,5545854
7450,6850,3481173,5545854
6900,6550,3426946,5524807
2420,1988,3439898,5482027
7550,1380,3477179,5547778
6900,6550,3520071,5535796
3600,3225,3457641,5552368
3200,2950,3477179,5547778
2750,2485,3556126,5540325
3600,3225,3368753,5503076
7450,6850,3463008,5581137
7450,6850,3553490,5533664
2563,2420,3469672,5556531
7550,1380,3436675,5599418
6200,4200,3526971,5531644
3150,2938,3388552,5588237
7450,6850,3452449,5556411
2725,2340,3460883,5547977
7450,6850,3414107,5599560
7550,6200,3480974,5548326
6900,6550,3470678,5558068
2420,1988,3414401,5595386
7550,6200,3441268,5563170
2420,1988,3480732,5559793
3200,2950,3422334,5524426
3200,2950,3437847,5586365
7550,1380,3418091,5454846
2420,1988,3482513,5559368
2420,1988,3475781,5556208
7550,1380,3379275,5514674
4200,2725,3482433,5558937
2725,2485,3474824,5561066
7450,6850,3420422,5610837
7550,1380,3448815,5575697
6900,6550,3528964,5529986
1980,1560,3561920,5539407
2725,2485,3443494,5551138
6550,6150,3471821,5558328
1979,1380,3457658,5536926
7550,1380,3436274,5460347
7550,1380,3502851,5561640
1980,1560,3577925,5579852
5800,5300,3470548,5557019
2485,2340,3364891,5511349
7550,1380,3463424,5552859
6900,6550,3388765,5571220
7550,6200,3519338,5577948
4200,3550,3432110,5615157
5800,5300,3456970,5557377
3250,2975,3503941,5550938
2420,1988,3553490,5533664
3200,2950,3474933,5560327
7550,6200,3521434,5591394
3200,2950,3482283,5558886
3200,2950,3476971,5547370
1980,1560,3457036,5557474
6900,6550,3377587,5514148
2205,2070,3432556,5497682
2725,2485,3528964,5529986
5300,4800,3358970,5515234
4200,2340,3426946,5524807
1560,1380,3528467,5532460
2950,2725,3463162,5557357
3200,2950,3458413,5548789
6150,5750,3337933,5495820
4200,2725,3452087,5565195
7550,1380,3476668,5558990
7550,1380,3426295,5530833
1980,1958,3439842,5438944
7550,4250,3522788,5537170
7550,1380,3479457,5559332
4200,2725,3389001,5570318
3200,2950,3464418,5553376
2950,2725,3419311,5545793
6200,4200,3467302,5572734
2725,1988,3528754,5569893
1980,1958,3453250,5556516
4200,2725,3452859,5535770
7550,6200,3459306,5560213
7550,6200,3367813,5502844
2485,2340,3388506,5581864
6900,6550,3430512,5523674
7550,1380,3452980,5559799
2420,1988,3556050,5525584
7450,6850,3384009,5507743
2420,2340,3425039,5460819
3200,2950,3387046,5587250
6900,6550,3426072,5612949
7450,6850,3480054,5544998
2950,2725,3388791,5570340
2420,1988,3554227,5534055
1980,1560,3457638,5536966
2420,1988,3454431,5437140
3250,2975,3428851,5613055
7550,6200,3486672,5573052
3200,2950,3459239,5560440
2725,2485,3530630,5526486
7550,4250,3491072,5588073
7450,6850,3511615,5591333
3200,2950,3482383,5559487
3200,2950,3464478,5535271
1980,1760,3454431,5437140
5800,5300,3451032,5559273
6200,4200,3565840,5536786
2340,1988,3471852,5558478
7450,6850,3376845,5503203
2725,1988,3443893,5553440
2725,2485,3450603,5550444
3200,2950,3379805,5579265
3200,2950,3422120,5592039
6900,6550,3525424,5537721
2420,1560,3444155,5454261
1980,1760,3488789,5563324
7550,1380,3568327,5532828
7550,1380,3477140,5547779
3200,2950,3438014,5557561
3200,2950,3451821,5575341
4200,2725,3485586,5555855
2420,1988,3448390,5550142
7550,1380,3483092,5564333
2950,2700,3590205,5541203
2420,1988,3472379,5549192
2725,2340,3480183,5559681
5800,5300,3386866,5587284
7550,6200,3530220,5577043
7450,6850,3528088,5531488
6200,4200,3449080,5544027
4200,2725,3474001,5550609
2950,2725,3428395,5465664
7550,1380,3526421,5533333
7550,1380,3450624,5565603
3200,2950,3371742,5509832
7550,1380,3377681,5480374
4200,3550,3441367,5447592
3250,2975,3483063,5559592
2340,1988,3376479,5515454
2420,1988,3376503,5515385
6900,6550,3522583,5590934
3150,2938,3528964,5529986
6200,4200,3523871,5562415
4200,2725,3472188,5475944
6900,6550,3402824,5602868
7450,6850,3373481,5516324
4200,3550,3455674,5455711
3200,2950,3465916,5546947
2420,1988,3457838,5536914
7550,6200,3550904,5574540
7550,1380,3402912,5512571
2725,1988,3427321,5472052
5800,5300,3422014,5584508
3200,2950,3388791,5570340
7550,1380,3469798,5548004
5800,5300,3461656,5537022
6900,6550,3379062,5514736
7550,1380,3554456,5575866
5800,5300,3464944,5557962
4450,4200,3396893,5593477
2420,1988,3476949,5569498
3200,2950,3359541,5487685
1980,1560,3561902,5539247
5000,4800,3472453,5552372
1980,1560,3586127,5545343
3200,2950,3441666,5437053
5800,5300,3457560,5549318
2485,2340,3452075,5551075
2725,2340,3433414,5462624
2420,1988,3477140,5547779
3200,2950,3446241,5562563
4200,2725,3467171,5558498
2485,2340,3447240,5438190
7450,6850,3376721,5515405
4200,3550,3389144,5580090
7450,6850,3442590,5559158
2485,2340,3464943,5535101
7550,1380,3482553,5559268
6900,6550,3522238,5538677
6200,4200,3450758,5574305
4200,3550,3448877,5543421
3200,2950,3493165,5586578
6200,4200,3457638,5536966
2070,1988,3483104,5552541
5000,4800,3442595,5561458
6900,6550,3409457,5604601
3600,3225,3436082,5534868
7550,1380,3470207,5551951
3200,2950,3459611,5551373
3250,2975,3502710,5561615
1980,1760,3509017,5589829
2950,2725,3473476,5560343
3200,2950,3450854,5543802
1980,1560,3472453,5552372
2563,2420,3449329,5554317
2725,2485,3467875,5545435
7550,6200,3477140,5547779
3600,3200,3437236,5463415
2725,2563,3376711,5515545
2485,2340,3424187,5458406
6200,4200,3394416,5521524
3200,2950,3452877,5551845
2340,1988,3454906,5446514
2340,1988,3494191,5582935
7550,1380,3555949,5540346
7450,6850,3521909,5538523
1980,1560,3408444,5605115
6200,4200,3522628,5537118
2750,2485,3526698,5591503
7550,1380,3482483,5559258
2950,2725,3337878,5495792
1980,1560,3525424,5537721
1760,1560,3453822,5558085
2485,2340,3475158,5475568
3250,2975,3512945,5554839
7550,1380,3550339,5567875
7550,1380,3500200,5547986
2070,1988,3497179,5586245
3200,2950,3373952,5508268
7450,6850,3423942,5526577
7450,6850,3626842,5503524
4200,3550,3479410,5559445
2485,2340,3415474,5467354
6900,6550,3418045,5601986
2485,2340,3380907,5516021
2725,2340,3411296,5484378
5800,5300,3482283,5558886
2485,2340,3457638,5536966
3200,2950,3470732,5572254
3200,2950,3382155,5478139
4200,3550,3436675,5599418
2950,2725,3407749,5607874
3600,3225,3463236,5563802
4200,3550,3442670,5560757
3250,2975,3512175,5594435
2563,2420,3475045,5560841
4200,2725,3403135,5591712
2485,2340,3378922,5490571
1980,1760,3383360,5514280
7450,6850,3457088,5558102
4800,4450,3509345,5594444
3200,2725,3463433,5573662
3200,2950,3427218,5529413
6550,6150,3493269,5552730
2725,2340,3461187,5581502
7550,6200,3461550,5538193
3200,2950,3457381,5552816
1980,1760,3432973,5489437
7450,6850,3436082,5534868
3600,3225,3413122,5462219
2725,2485,3470418,5547909
7450,6850,3424486,5530516
7550,1380,3481035,5546155
2725,2485,3384393,5588233
7550,1380,3470495,5546593
7550,1380,3497001,5544142
3200,2725,3459371,5464531
4200,3550,3409025,5581517
2750,2485,3576850,5557906
7550,1380,3472319,5549353
2950,2725,3464123,5433418
5800,5300,3463236,5563802
2725,2485,3504529,5550557
1980,1560,3499064,5586271
3200,2950,3497124,5550973
6950,6200,3554365,5534621
2950,2700,3513003,5593713
7550,1380,3423352,5528413
7550,1380,3593115,5528085
3200,2950,3482903,5559551
7550,1380,3465342,5575546
2420,2340,3348881,5489093
3200,2950,3436089,5551352
2485,2340,3558170,5570713
2420,1988,3528952,5529964
2725,2485,3447781,5550183
1980,1560,3496195,5576089
2420,2340,3460298,5468228
7550,1380,3555949,5540346
2563,2420,3411521,5609104
4200,3550,3427460,5529181
7550,1380,3407163,5605519
2950,2725,3420384,5601266
2420,1988,3476969,5569476
3600,3200,3423724,5526512
2950,2725,3482483,5559258
2725,2485,3448754,5544675
3200,2950,3439843,5482030
7450,6850,3553926,5533698
3200,2950,3440472,5592451
5000,4800,3480293,5559742
3200,2340,3427746,5520614
2485,2340,3352351,5515725
5000,4800,3373552,5518058
4200,3550,3408634,5604984
3250,2975,3594365,5532284
2725,2485,3377708,5575175
2725,2340,3521372,5536624
4200,3550,3522332,5538374
4200,2725,3493055,5586437
3200,2950,3457191,5558873
6200,4200,3480332,5559762
2420,1988,3483917,5545691
7450,6850,3427398,5526906
4200,3550,3495046,5553856
2950,2700,3551069,5574981
3200,2950,3463416,5547088
7550,6200,3421283,5528013
2925,2700,3367598,5498917
2925,2700,3373241,5516126
3200,2950,3422120,5592039
3200,2950,3455450,5559238
3600,3200,3380907,5516021
1980,1560,3533049,5526763
6200,4200,3569677,5540494
3200,2950,3477140,5547779
6900,6550,3525485,5529141
2725,2485,3531263,5526490
7550,6200,3520499,5539358
2950,2725,3521364,5595864
5000,4800,3384965,5572091
2563,2340,3449412,5406130
3200,2950,3383733,5571945
7450,6850,3512362,5581828
7450,6850,3451878,5575276
2725,2340,3438532,5462441
3200,2950,3459358,5466931
2563,2340,3475012,5557632
7550,6200,3522331,5586453
2420,1988,3467666,5556104
3200,2950,3381047,5576888
2563,2420,3490496,5579698
7550,1380,3482493,5559118
7550,1380,3471016,5547414
6200,2725,3526607,5532917
7450,6850,3527940,5583152
3200,2950,3410890,5466548
5800,5300,3559557,5564607
4200,3550,3474915,5560479
3600,3225,3555657,5540291
4200,3550,3408130,5598861
3200,2950,3466148,5570958
3200,2950,3519703,5539825
7450,6850,3396826,5569694
3600,3225,3451032,5559273
2420,1988,3426364,5437564
3200,2950,3353792,5575448
2725,2340,3462926,5557164
3200,2950,3459278,5560576
3250,2975,3561599,5575989
5800,5300,3517623,5533963
4200,3550,3427661,5533010
2725,2485,3464773,5535249
2725,2340,3351406,5490733
7550,1380,3383153,5498908
6900,6550,3554131,5558922
3200,2950,3466324,5557550
2950,2725,3459112,5560332
7450,6850,3347404,5489385
3200,2340,3380925,5513405
2420,1988,3461592,5537192
6200,4200,3476893,5559237
2420,1988,3420445,5563805
4200,3550,3447071,5554439
4200,3550,3463047,5574007
3200,2950,3372900,5480962
2950,2700,3560008,5537583
3200,2950,3457028,5552804
3600,3225,3458672,5550474
3250,2975,3622132,5521834
4200,3550,3478299,5553556
4200,3550,3463207,5557392
6900,6550,3515729,5542628
3200,2950,3396435,5578737
6900,6550,3449578,5546431
2420,2350,3509345,5594444
2950,2725,3470639,5589022
7450,6850,3470379,5557611
7550,1380,3411011,5582568
2725,2340,3373510,5475292
7550,1380,3423479,5528714
6200,4200,3494249,5551479
7550,6200,3380163,5579498
3250,2975,3528964,5529986
2725,2485,3462673,5552786
5000,4800,3398404,5523040
6550,6150,3560330,5537365
3200,2950,3473731,5550521
7550,6200,3423311,5526245
6900,6550,3538695,5582931
2925,2700,3374967,5520020
2725,2485,3452415,5557774
3200,2725,3432283,5586471
2950,2725,3410148,5607196
6900,6550,3500229,5587099
3200,2950,3478043,5559760
6900,6550,3386986,5587280
4200,2725,3423939,5528530
2485,2340,3382038,5515680
4200,2725,3513001,5555152
3200,2950,3442337,5532585
1980,1560,3564566,5538266
2420,1988,3452257,5546623
3200,2950,3476435,5546882
2725,2340,3462956,5557144
7450,6850,3384026,5584185
2420,1988,3481665,5546105
2070,1988,3463044,5456541
4200,2725,3388791,5570340
2070,1988,3556050,5525584
7450,6850,3343008,5486552
3200,2750,3419969,5611561
6900,6550,3376721,5515405
2950,2725,3434153,5459595
4200,3550,3554435,5575966
7450,6850,3414401,5595386
2420,1988,3513226,5592172
6200,4200,3407194,5605551
3200,2340,3512402,5544307
4200,3550,3409692,5607530
7550,1380,3470028,5547842
3200,2950,3437817,5554467
4200,3550,3454812,5421685
2070,1988,3463935,5423794
3200,2950,3459222,5551351
7550,1380,3427628,5526466
2725,2340,3439822,5469436
2725,2340,3425336,5530749
2420,1988,3394862,5579290
6900,6550,3561902,5539247
7550,6200,3467243,5568269
3250,2975,3516687,5538155
3200,2950,3463302,5557391
2725,2340,3451452,5558569
5800,5300,3522628,5537118
2420,1988,3440461,5487285
7450,6850,3410388,5607224
4200,2725,3450504,5593005
5300,4800,3375825,5518559
6200,4200,3623661,5505406
6900,6550,3552158,5539700
4200,3550,3476802,5558481
4800,4200,3561757,5539586
2340,1988,3474605,5560735
1980,1760,3445639,5438984
3200,2950,3373156,5475680
3200,2950,3449515,5473335
2420,1988,3441627,5506596
2340,2205,3386045,5515775
2420,1988,3485063,5560346
1980,1560,3462037,5537108
3200,2950,3457970,5566668
7550,1380,3496046,5581498
2563,2340,3474881,5557552
2950,2725,3419311,5545793
2420,1988,3551507,5578645
6200,4200,3448519,5548000
7450,6850,3417198,5523501
2420,1988,3432139,5478372
5000,4800,3497054,5550903
7550,6200,3414559,5601305
7450,6850,3439549,5590599
7450,6850,3422566,5530510
1980,1760,3472090,5561021
3200,2950,3449992,5565711
1980,1760,3425413,5460166
2350,2080,3432944,5612469
2485,2340,3392879,5532749
7450,6850,3522432,5530516
7550,6200,3525552,5591527
7450,6850,3527187,5531591
2950,2700,3555949,5540346
4450,4200,3473309,5549394
1980,1560,3371340,5503829
5800,5300,3527940,5583152
2485,2340,3511752,5574618
2420,1560,3403863,5596817
2070,1988,3503285,5561710
2420,1988,3476971,5547370
5800,5300,3555752,5540500
3200,2950,3449999,5549373
3200,2950,3454409,5536513
1760,1560,3457638,5536966
2725,1988,3418008,5602277
4200,2725,3381095,5582970
1560,1380,3528078,5532768
7550,1380,3485766,5561037
1980,1560,3383390,5514320
3200,2950,3432804,5566302
2485,2340,3433988,5456981
6900,6550,3422681,5524753
2420,1988,3439843,5482030
2563,2340,3475012,5557632
2950,2725,3396424,5578657
2563,2340,3511616,5605718
4200,3550,3465562,5429885
7450,6850,3430855,5523396
3200,2950,3466174,5557676
7550,6200,3478364,5545486
2725,2340,3376658,5502645
7450,6850,3456598,5553620
2420,1988,3433532,5481371
3200,2950,3382282,5478497
3200,2950,3447166,5554448
2485,2340,3472137,5558516
1980,1560,3517498,5554953
7550,1380,3458025,5557216
5000,4800,3494249,5551479
7550,1380,3447997,5548105
6900,6550,3470732,5572254
1980,1560,3555752,5540500
6150,5300,3438666,5530724
5800,5300,3429610,5527532
3250,2975,3426496,5609791
7550,1380,3451013,5559396
6200,4200,3494421,5543433
5800,5300,3559330,5564491
7450,6850,3553490,5533664
7550,6200,3531098,5531660
3200,2340,3451323,5589048
1980,1560,3482664,5559524
4200,2725,3463047,5574007
3250,2975,3585451,5543416
2725,2340,3418008,5602277
3200,2950,3465585,5547023
2420,1988,3563946,5536122
1980,1560,3398188,5581002
7550,1380,3457942,5461766
2420,1988,3553603,5532615
6200,4200,3442670,5560757
7450,6850,3381293,5507747
7550,1380,3473767,5559682
7450,6850,3516576,5534374
2563,2420,3426900,5572304
2420,1988,3440527,5454348
2420,1988,3429667,5556637
2563,2420,3505250,5550213
3200,2950,3477112,5559038
4200,3200,3514543,5608125
2420,1988,3380907,5516021
2340,1988,3552910,5540791
3200,2750,3577925,5579852
7550,6200,3455326,5607706
2950,2725,3388115,5571846
2563,2420,3449584,5565189
7550,1380,3477179,5547778
6200,4200,3444679,5558840
3200,2950,3417497,5580296
2925,2700,3382247,5497890
7550,1380,3476455,5546832
2725,2340,3430050,5445413
7550,1380,3528099,5535358
2340,1988,3432647,5522898
3600,3200,3441142,5447682
2420,2340,3462715,5536461
6900,6550,3511822,5595944
2420,1988,3486538,5564298
7450,6850,3623632,5504600
6900,6550,3553962,5535688
2485,2340,3387594,5590840
3200,2725,3372049,5551369
3200,2950,3447908,5436317
2485,2340,3409044,5604674
6150,5300,3493494,5546986
4200,3550,3450379,5559273
6200,5750,3378907,5514990
7550,4250,3422334,5524426
2950,2700,3531124,5576818
7550,6200,3447997,5548105
2750,2485,3558774,5536138
3200,2950,3496940,5542561
2950,2725,3385780,5572056
7550,6200,3484884,5554644
7550,1380,3391987,5506135
4200,2340,3432845,5485462
2950,2700,3531124,5576818
7550,4250,3512555,5592322
3200,2950,3373387,5496228
3200,2950,3467372,5559036
7450,6850,3414559,5601305
2950,2725,3457525,5557270
6200,5750,3457184,5549052
3200,2950,3482493,5559178
7550,1380,3457598,5555489
5800,5300,3405279,5603587
7450,6850,3553490,5533664
6200,5750,3471681,5558135
4200,3550,3416694,5599899
1980,1560,3569436,5533952
7450,6850,3525590,5537975
7450,6850,3461400,5536709
7450,6850,3446516,5550223
7450,6850,3479533,5559416
7450,6850,3420752,5562695
2420,1988,3525136,5537784
4200,3550,3442124,5447090
2563,2340,3376369,5517069
2340,1988,3441557,5478873
1980,1760,3496046,5581498
6900,6550,3416161,5599842
7450,6850,3428894,5526898
7450,6850,3449494,5473175
6200,4200,3460354,5586040
4200,2340,3372543,5510126
7550,6200,3407163,5605519
2725,2485,3467171,5558578
3200,2950,3432647,5522898
7550,1380,3433939,5440503
4200,3550,3432110,5615157
5800,5300,3467142,5572710
6900,6550,3361047,5494152
2420,1988,3441256,5447570
2725,2340,3433920,5487316
2420,1988,3383057,5514722
2420,1988,3427776,5493971
5800,5300,3439549,5590599
2420,1988,3409216,5607064
2420,1988,3482283,5558886
2725,2485,3472169,5549662
6200,5750,3371340,5503829
4200,3550,3441557,5478873
3200,2950,3480223,5559761
3200,2950,3460298,5468228
5000,4800,3363805,5515137
3200,2950,3429654,5593149
2725,2340,3445986,5542113
3600,3200,3448908,5467134
3200,2950,3391741,5515450
2420,1988,3458008,5536903
4200,3550,3460255,5425680
6900,6550,3386986,5587280
2925,2700,3374067,5485894
2420,1988,3432297,5478181
6900,6550,3431436,5524083
2420,1988,3476971,5547370
7450,6850,3479566,5559346
2725,1988,3475439,5476036
7450,6850,3525985,5531112
1980,1560,3409216,5607064
6900,6550,3471461,5565212
1979,1380,3376380,5515353
5800,5300,3516921,5538267
3200,2950,3368651,5502831
7550,1380,3556126,5540355
7450,6850,3481173,5545854
2420,1988,3543381,5580585
1980,1560,3388506,5581864
2950,2700,3544752,5591006
2950,2725,3465585,5547023
2485,2340,3428375,5434318
2950,2725,3404692,5573554
4200,2725,3480283,5559582
7450,6850,3382301,5590752
7450,6850,3418167,5612187
3200,2725,3459427,5463950
1980,1560,3472119,5549195
7450,6850,3425480,5530948
5800,5300,3457768,5560728
2420,1988,3478659,5553609
7550,1380,3385023,5576914
4200,3550,3447564,5575493
6900,6550,3484550,5572094
2563,2420,3381055,5495624
2420,1988,3489154,5547955
2725,2340,3463162,5557357
5000,4800,3375458,5543136
4200,3550,3346279,5483372
7450,6850,3588179,5530566
7550,1380,3455289,5555794
3200,2950,3393938,5579118
4200,2725,3397044,5597469
5300,4800,3426935,5528160
6200,4200,3395916,5504642
2950,2725,3388095,5580674
4200,2725,3479803,5559738
3200,2950,3486170,5549316
3200,2340,3450615,5593224
2563,2340,3430657,5483725
3600,3225,3376369,5517069
6900,6550,3551694,5574926
6200,4200,3445395,5550092
2725,1988,3479623,5560092
3650,3550,3454107,5456244
2725,2340,3380723,5494852
7550,6200,3427067,5614550
3200,2950,3427711,5532999
4450,4200,3473159,5549456
7550,1380,3461969,5578165
7550,1380,3446991,5435177
6200,4200,3376549,5503023
2563,2420,3503285,5561710
7550,6200,3500280,5587000
4200,3550,3441137,5447602
5000,4800,3402921,5602627
7550,1380,3457230,5553299
6200,4200,3380907,5516021
5800,5300,3445504,5549981
7550,1380,3479773,5559803
3200,2950,3462751,5557095
2420,1988,3425573,5558683
4200,3550,3434590,5440407
1980,1560,3409457,5604601
6200,4200,3337878,5495792
7450,6850,3562014,5576372
3200,2950,3482013,5557774
6200,4200,3414425,5603868
5800,5300,3558481,5565212
3600,3225,3465888,5570941
6150,5300,3383819,5583766
2725,2485,3467988,5545467
3200,2950,3439062,5462022
6200,4200,3526012,5533126
7450,6850,3433434,5536163
6900,6550,3376650,5515324
7550,1380,3555949,5540346
2205,2070,3388260,5581138
2725,2485,3500023,5542699
3200,2950,3471259,5542621
2563,2340,3475012,5557632
7450,6850,3461667,5537142
3200,2950,3435969,5535800
3200,2950,3483299,5564657
6200,4200,3516529,5538004
2563,2340,3467036,5551898
1980,1560,3376369,5517069
2725,2485,3504449,5550437
3200,2950,3373130,5475766
2420,1988,3450606,5559919
7550,4250,3440895,5591308
7450,6850,3378907,5514990
2950,2725,3462440,5439172
2725,2340,3441488,5478998
7450,6850,3447653,5554434
2420,1988,3432420,5599022
2950,2725,3337878,5495792
2420,1988,3428622,5540743
7550,1380,3429678,5524633
3200,2950,3529175,5530866
7550,1380,3457068,5552816
6900,6550,3522332,5538374
3200,2950,3417176,5591890
7550,6200,3441557,5478873
7450,6850,3474090,5549668
4450,4200,3404562,5603843
1980,1560,3553490,5533664
2750,2485,3557318,5536003
3200,2750,3565637,5536199
7450,6850,3452943,5551914
6200,4200,3469496,5551657
1980,1560,3552896,5533960
6900,6550,3468697,5544682
4450,4200,3543838,5556170
6200,4200,3449584,5565189
4200,2725,3439197,5438806
7550,1380,3491608,5558919
7550,1380,3477643,5559422
2485,2340,3472169,5549662
2420,1988,3424706,5561923
2420,1988,3486122,5552051
1979,1380,3457888,5536914
2420,1988,3423080,5560499
4800,4450,3510675,5607573
6900,6550,3516839,5542182
2420,1988,3447304,5438167
2725,2340,3386894,5509609
5800,5300,3533150,5529044
2340,1988,3426796,5530734
2563,2340,3450680,5494918
3250,2975,3510883,5605808
2420,1988,3429575,5570421
7550,1380,3431046,5527995
6200,4200,3375189,5517557
3200,2950,3448736,5572997
3200,2950,3466447,5552318
7450,6850,3347715,5490982
4800,4450,3474001,5550609
3200,2950,3439657,5590557
2340,1988,3541958,5560063
1958,1760,3586154,5545433
1980,1560,3387046,5587250
2420,1988,3528952,5529964
7450,6850,3560808,5573990
3200,2950,3367973,5492062
3200,2950,3497520,5542810
7450,6850,3414396,5601298
2563,2340,3418100,5565958
2925,2700,3347401,5488948
7550,6200,3347328,5489280
2420,1988,3447240,5438190
2485,2340,3404470,5603674
3200,2950,3415421,5599724
3200,2950,3434792,5439990
7550,1380,3510558,5608421
2420,1988,3442669,5575177
2725,2340,3396657,5578611
4200,3550,3456004,5559533
2420,1988,3470605,5556517
2420,1988,3506326,5546550
5000,4800,3388791,5570340
7450,6850,3463465,5573342
1980,1560,3516276,5565098
7450,6850,3561255,5538402
2725,2340,3463508,5557509
6900,6550,3438136,5600655
2725,2340,3411467,5608754
7550,1380,3452471,5562384
1980,1560,3472028,5548905
2950,2700,3547827,5579958
7450,6850,3427578,5526159
6900,6550,3381521,5572075
2950,2725,3517696,5534392
7450,6850,3376502,5515495
5000,4800,3378755,5486401
4200,2725,3383968,5571559
6200,4200,3431329,5526287
2725,2340,3473476,5560343
3200,2950,3477138,5559074
2950,2725,3522542,5530467
1980,1560,3376762,5515318
2563,2340,3442832,5560936
7550,1380,3425348,5530899
3250,2975,3559000,5579220
1980,1560,3432480,5599104
6900,6550,3430322,5526358
4200,3550,3468310,5545910
2485,2340,3419812,5447144
2420,1988,3554983,5533125
3250,2975,3574204,5539934
7550,1380,3473345,5553355
7550,1380,3480530,5545712
5000,4800,3466676,5557417
3200,2950,3470495,5546593
5000,4800,3443893,5553440
7550,1380,3427332,5525633
3200,2950,3435931,5460558
2420,1988,3428622,5540743
2205,2070,3374570,5547500
2725,2340,3368696,5519880
5000,4800,3497056,5542262
6900,6550,3376605,5502781
2950,2725,3396703,5578584
5000,4800,3444872,5572798
7550,1380,3481173,5545854
6900,6550,3376829,5515478
6900,6550,3549378,5572368
5000,4800,3480263,5559751
5800,5300,3558774,5536138
2725,1988,3508551,5547666
7550,1380,3552140,5572239
7450,6850,3535333,5531656
2950,2725,3460298,5468228
2485,2340,3436921,5460924
7550,1380,3475045,5560841
2485,2340,3450680,5494918
3200,2950,3450060,5547657
6200,4200,3488771,5559155
7550,4250,3512861,5592017
2925,2700,3384193,5507151
3200,2340,3448754,5544675
7550,4250,3496825,5585704
2485,2340,3464390,5452972
2420,1988,3553846,5533707
2563,2420,3367598,5498917
2725,1988,3366638,5509563
7450,6850,3516218,5582836
1980,1760,3457638,5536906
3200,2950,3438701,5463415
1980,1560,3376707,5504059
3600,3225,3469798,5548004
4200,2725,3475720,5546742
2950,2725,3358680,5529700
4200,2725,3493244,5552605
5800,5300,3463236,5563802
7550,1380,3452219,5556335
6900,6550,3373496,5516424
2485,2340,3408022,5468555
1980,1760,3372890,5516839
2950,2700,3626153,5511352
2725,2340,3451741,5556909
5300,5000,3482713,5557589
7450,6850,3410838,5581637
2340,1988,3376604,5515748
3200,2950,3479059,5545632
2485,2340,3391546,5521188
4200,3550,3445126,5557161
4200,2725,3457184,5549052
2563,2420,3428401,5534834
7550,6200,3468117,5538197
2725,1988,3414559,5601305
3250,2975,3565840,5536786
7550,1380,3477095,5546427
7550,1380,3561757,5539586
3600,3225,3468310,5545910
2725,1988,3450680,5494918
7450,6850,3479423,5559445
7550,1380,3473844,5559821
7550,1380,3455451,5559968
7550,1380,3423095,5434119
2563,2340,3453146,5574375
7550,1380,3475260,5562690
7450,6850,3434138,5566076
7550,1380,3460917,5573483
6150,5750,3448119,5554980
3200,2950,3341499,5488400
5800,5300,3517898,5533115
1979,1380,3557816,5534361
7450,6850,3382136,5507279
7550,1380,3556459,5556859
2563,2420,3464125,5573316
1560,1380,3450478,5440292
2950,2725,3472180,5550364
5000,4800,3444620,5572753
6900,6550,3477179,5547778
3600,3225,3367452,5498785
7550,1380,3426714,5528362
2340,1988,3425238,5460777
7450,6850,3467875,5545435
2725,2340,3517898,5533115
2420,1988,3423297,5560232
7550,6200,3529019,5530304
3200,2950,3452530,5595658
4200,3550,3465888,5570941
6900,6550,3558772,5572908
2420,1988,3473598,5548452
6550,6150,3623661,5505406
1560,1380,3527950,5532887
1980,1958,3459914,5430105
2420,1988,3565637,5536199
2950,2725,3372335,5509541
2925,2700,3337933,5495820
2563,2420,3471641,5558180
3200,2950,3460156,5586188
5000,4800,3518243,5533206
7550,1380,3374645,5498676
2205,2070,3420206,5464400
3200,2950,3430188,5570094
7550,1380,3449506,5563774
6200,4200,3435915,5598472
6200,4200,3428462,5534903
2950,2725,3337933,5495820
3200,2950,3462686,5563557
2563,2420,3495046,5553856
2950,2725,3440730,5489581
2925,2700,3357205,5476885
2725,2340,3373261,5475385
3200,2950,3388506,5581864
2950,2700,3567024,5536174
2563,2340,3408761,5468403
3200,2950,3480168,5559776
2205,2070,3460346,5557526
3200,2950,3461595,5546789
3200,2950,3479410,5559445
7450,6850,3553869,5533467
7450,6850,3427695,5584490
3200,2950,3387388,5516937
3250,2975,3504245,5599859
3600,3200,3459889,5423375
7550,6200,3474290,5549736
2420,1988,3457014,5511667
7450,6850,3423143,5528313
4200,3550,3409086,5581569
7550,6200,3382457,5590628
7550,1380,3375223,5522782
2750,2485,3560008,5537583
2563,2420,3482159,5577581
