BP_from,BP_to,X_S42,Y_S42
4200,3550,3382056,5575719
6200,4200,3520804,5535807
3200,2950,3450948,5567798
7450,6850,3479457,5559332
4200,3550,3465778,5558610
4200,2725,3509186,5547934
2725,1988,3447369,5549720
4800,4450,3387594,5590840
3200,2950,3450952,5549905
2563,2340,3477073,5546943
4200,3550,3408843,5604611
4200,2725,3459196,5447600
3200,2950,3477366,5547969
2340,1988,3388653,5581284
4200,3550,3436675,5599418
4200,3550,3476351,5560372
3200,2725,3432264,5598431
2725,1988,3462935,5563495
6200,5750,3453175,5553416
7450,6850,3430957,5598614
4200,3550,3522301,5538216
5000,4800,3494249,5551479
3600,3200,3454587,5451326
6150,5300,3463357,5557260
7550,1380,3528140,5533858
3200,2950,3441867,5558694
3200,2950,3410838,5581637
4200,3550,3397216,5593634
2950,2725,3454041,5562708
4200,3550,3410838,5581637
3200,2340,3454133,5562527
7450,6850,3427302,5529432
4200,3550,3474835,5560439
6200,4200,3465888,5570941
3200,2950,3503553,5544291
7550,1380,3466951,5558430
2725,2485,3520804,5535807
7550,6200,3448390,5550142
2420,1988,3426667,5609636
5800,5300,3497447,5540922
6200,4200,3520804,5535807
4200,3550,3555752,5540500
4200,3550,3452886,5560585
1760,1560,3388506,5581864
6150,5300,3496440,5554016
1980,1560,3482653,5559289
4200,3550,3557952,5569168
3200,2725,3474835,5560439
5800,5300,3451452,5558569
2725,2340,3520812,5535850
5000,4800,3480283,5559762
2420,1988,3425523,5558683
5800,5300,3451391,5575765
3200,2950,3435836,5598605
2420,1988,3407163,5605519
4200,3550,3463174,5557212
2485,2340,3407163,5605519
3200,2950,3504332,5561957
5000,4800,3452886,5560585
4200,3550,3397410,5593222
7450,6850,3409503,5607534
2420,1988,3503553,5544291
3200,2950,3441628,5506726
7550,1380,3407304,5580024
7550,1380,3506223,5549585
3200,2950,3394192,5592950
4200,3550,3476608,5560617
3200,2950,3473873,5559631
2420,1988,3481533,5556730
3200,2950,3467852,5551971
3200,2950,3463197,5557352
4200,3550,3407749,5607874
6900,6550,3473466,5589388
2420,1988,3426648,5609700
3250,2975,3586619,5543721
1560,1380,3503553,5544291
3200,2950,3463236,5563802
2420,1988,3433599,5481457
7550,6200,3510228,5569418
6200,4200,3479833,5559178
6150,5300,3463174,5557212
2340,1988,3460507,5581902
6150,5300,3463316,5557141
2725,2485,3520804,5535807
2950,2725,3378782,5581743
3600,3200,3454564,5451411
2420,1988,3388506,5581864
6900,6550,3512819,5602672
4200,3550,3463236,5563802
4200,3550,3381805,5575691
4800,4450,3397410,5593222
5800,5300,3445668,5550132
3200,2950,3442703,5544944
4800,4450,3494249,5551479
4200,2725,3438151,5452705
4800,4450,3407749,5607874
3200,2950,3447653,5554434
5000,4800,3472169,5549662
2420,1988,3409503,5607534
1980,1560,3474663,5580742
4200,3550,3409503,5607534
6200,4200,3561346,5538503
4200,3550,3465957,5558482
4200,3550,3555752,5540500
2485,2340,3556050,5525584
6900,6550,3385753,5581186
3200,2950,3466533,5557306
3600,3225,3509191,5547986
5000,4800,3480334,5559672
4200,3550,3467147,5558532
4200,2725,3508722,5547578
7550,6200,3558938,5573189
4200,2725,3509191,5547986
3200,2950,3449519,5550149
4200,2725,3509191,5547986
2340,2205,3407163,5605519
4200,2725,3509186,5547934
2950,2700,3582201,5579868
4200,2725,3509186,5547934
3250,2975,3550629,5562597
2950,2700,3590003,5541298
1980,1560,3519703,5539825
6200,4200,3396826,5569694
7550,1380,3471819,5549427
3200,2725,3372460,5480970
2725,2563,3482363,5559307
1980,1560,3410911,5561488
4200,3550,3443497,5574832
7550,1380,3446692,5430864
5800,5300,3482283,5558886
2420,1988,3567797,5535990
6900,6550,3434138,5566076
2070,1988,3461489,5537203
2420,1988,3516498,5598449
2950,2725,3457970,5566668
6900,6550,3473566,5589307
1560,1380,3448390,5550142
7450,6850,3381723,5505136
4200,3550,3483514,5552584
2950,2725,3477052,5558978
6900,6550,3382378,5590401
7450,6850,3479457,5559332
2725,2340,3440461,5487285
3600,3225,3435590,5460065
6200,4200,3476429,5558793
7550,4250,3449565,5563599
5800,5300,3448126,5573003
3200,2725,3423056,5526720
2725,2340,3528088,5531488
7550,4250,3426701,5528857
2563,2420,3449584,5565189
3200,2950,3387388,5516937
2563,2340,3450478,5440292
3200,2950,3457123,5552873
3200,2950,3341061,5488951
2420,2340,3458679,5550464
7450,6850,3451704,5550838
3200,2950,3378765,5499042
2725,2340,3528088,5531488
6200,4200,3467766,5556073
6900,6550,3564961,5580284
2563,2420,3361047,5494152
5800,5300,3516520,5538024
1980,1560,3481925,5558465
7550,6200,3477179,5547778
3200,2950,3467422,5559006
2420,1988,3387220,5586678
2420,1988,3428469,5540414
3200,2950,3477954,5553869
5800,5300,3495046,5553856
7450,6850,3386215,5505946
7550,6200,3552904,5534675
2950,2725,3493269,5552730
2420,1988,3423003,5560447
4800,4200,3486694,5558208
7550,6200,3430728,5523774
2725,2340,3353918,5482177
2205,2070,3524757,5577765
7450,6850,3503095,5561558
5000,4800,3480008,5559850
7550,4250,3478654,5577682
2563,2420,3472180,5550364
6900,6550,3450854,5543802
2420,1988,3521424,5536624
7550,1380,3437420,5456034
2340,1988,3389628,5536933
3200,2950,3445126,5557161
3200,2950,3439843,5482030
3200,2950,3496516,5542378
1980,1560,3389051,5580531
7550,1380,3472437,5548122
3600,3225,3459011,5534994
4200,2725,3441488,5478998
1980,1958,3496129,5590225
7550,1380,3450786,5593293
4200,3550,3555646,5540361
2205,2070,3408022,5468555
2420,1988,3482858,5559563
5800,5300,3388506,5581864
3450,3200,3462695,5580149
6200,4200,3470621,5553688
3600,3225,3528964,5529986
1980,1560,3485356,5555813
5300,5000,3437920,5616237
1980,1560,3433414,5462624
3600,3200,3439135,5467682
1980,1760,3388506,5581864
2950,2700,3569202,5544592
2340,1988,3422781,5526460
2485,2340,3458672,5550474
1980,1560,3521282,5536558
3250,2975,3512904,5555099
3200,2950,3380494,5509168
3200,2750,3419888,5611472
5000,4800,3497520,5542810
3200,2750,3565942,5536736
2420,1988,3454924,5446666
2925,2700,3373981,5517287
7550,6200,3423352,5528413
6200,4200,3451320,5575556
2420,1988,3467692,5567945
3650,3550,3461557,5462257
5800,5300,3433370,5600053
7550,4250,3508924,5591493
7550,1380,3502315,5549651
2485,2340,3395639,5577613
3200,2950,3503285,5561710
3200,2950,3454522,5539433
2725,2485,3426277,5613457
1760,1560,3494050,5583204
7550,6200,3418134,5601970
2725,1988,3457667,5550893
3600,3200,3439135,5467682
4200,2725,3491670,5549283
1980,1560,3376441,5515434
7550,6200,3491944,5544555
2563,2340,3387046,5587250
3200,2725,3439459,5590540
7550,1380,3422614,5528619
7550,4250,3511616,5605718
3200,2725,3390300,5565446
5000,4800,3467646,5556044
6900,6550,3410439,5607273
4200,3550,3463044,5456541
2950,2725,3421519,5590934
6200,4200,3390280,5570107
7550,1380,3459866,5557440
7450,6850,3443350,5485278
4200,3550,3568327,5532828
6150,5300,3474615,5560745
2420,1988,3447240,5438190
6900,6550,3525465,5529138
5300,5000,3451032,5559273
2950,2700,3545612,5579581
3200,2340,3450298,5546550
7550,1380,3488849,5563334
3200,2950,3442706,5544891
3200,2725,3456958,5568566
4200,3550,3470542,5547245
7450,6850,3558170,5570713
2340,1988,3455270,5472656
4200,2725,3389001,5570318
3200,2950,3429504,5524492
2925,2700,3359786,5492602
7550,1380,3423510,5528471
2485,2340,3437638,5454132
3250,2975,3514906,5607637
7550,1380,3445193,5548114
7550,1380,3526421,5533333
2950,2725,3427509,5520378
7550,4250,3477854,5577691
7450,6850,3427264,5525912
2750,2485,3552706,5536209
2925,2700,3393049,5524263
4200,3550,3479410,5559445
2725,2340,3411296,5484378
7450,6850,3391822,5517059
2420,1988,3477623,5592216
7450,6850,3441154,5448468
2925,2700,3346807,5486941
4200,3550,3480173,5559724
7550,6200,3509464,5610499
4200,2340,3461554,5579909
4200,3550,3478444,5561678
2485,2340,3387570,5534450
6900,6550,3455104,5537788
7550,1380,3449545,5563539
7550,1380,3477140,5547779
2420,1988,3467947,5555681
3200,2950,3386986,5587280
7550,6200,3502456,5600236
2420,2340,3375318,5517610
5000,4800,3470542,5547245
2725,2563,3465198,5537562
1980,1760,3372419,5508365
3200,2950,3374638,5585136
7550,1380,3439896,5541257
3200,2950,3479410,5559445
3200,2950,3363264,5482460
7550,6200,3550253,5578155
6950,6200,3451292,5559163
6150,5300,3423049,5530263
7550,1380,3452179,5556325
5800,5300,3538560,5556206
7450,6850,3391832,5517174
4200,2725,3384626,5573827
6900,6550,3548958,5579006
7550,1380,3465211,5437924
7550,1380,3372236,5511884
5000,4800,3518243,5533206
1980,1560,3482573,5559498
7550,1380,3355581,5510914
5000,4800,3555231,5539918
5800,5300,3482093,5558355
2925,2700,3373241,5516126
2340,1988,3430981,5522017
4200,2725,3445516,5543630
2420,2340,3467748,5570795
2340,1988,3559557,5564607
7450,6850,3478663,5560360
2420,1988,3415421,5599724
3200,2950,3382155,5478139
3200,2950,3372908,5480849
2725,2340,3512234,5595095
3200,2750,3581512,5540528
7550,1380,3512717,5594821
3200,2750,3554205,5534632
2725,2340,3417107,5601279
7550,1380,3422427,5525382
2563,2340,3371679,5516778
2725,2340,3462757,5557285
2205,2070,3423413,5458580
3600,3225,3470605,5556517
7450,6850,3422681,5524753
3200,2725,3427628,5526466
1760,1560,3451531,5559051
3600,3225,3485599,5555811
1980,1760,3383379,5514230
4200,2340,3449117,5427576
4200,3550,3510225,5548669
1980,1560,3405426,5578680
5000,4800,3518253,5533166
1980,1760,3429178,5458504
7450,6850,3476608,5560617
7550,1380,3426516,5524381
2070,1988,3444354,5435184
2340,1988,3437222,5599966
2925,2700,3367452,5498785
3200,2950,3440730,5489581
2725,2340,3415787,5599995
2725,2485,3473873,5559631
2563,2340,3471852,5558478
3200,2750,3516103,5599476
6900,6550,3430728,5523774
3200,2950,3434138,5566076
3600,3200,3437994,5466731
6200,4200,3398404,5523040
2420,1988,3416694,5599899
2725,2340,3476375,5546812
3200,2950,3428009,5533342
6900,6550,3404619,5579672
6900,6550,3382301,5590752
7550,1380,3433604,5460657
7550,1380,3513719,5598278
4200,2725,3389001,5570318
3200,2950,3396475,5578706
3250,2975,3501207,5585684
2725,2340,3478993,5559822
7550,1380,3379062,5514736
3200,2750,3516921,5538267
7550,1380,3475958,5560540
6200,4200,3440386,5562847
6900,6550,3454383,5539694
2420,1988,3553926,5533698
6900,6550,3393938,5579118
4200,3550,3476728,5562658
2725,1988,3528964,5529986
3200,2950,3482283,5558886
2950,2725,3425348,5530899
7550,1380,3376988,5471354
6200,4200,3457032,5558394
3200,2750,3555031,5533336
3250,2975,3509561,5603602
2485,2340,3403065,5599671
1980,1560,3567843,5583116
6200,2725,3449923,5568247
6900,6550,3554129,5558890
6200,4200,3470347,5547259
7450,6850,3371117,5504089
2563,2420,3428341,5442120
3600,3225,3376503,5515385
7550,1380,3367751,5483375
6900,6550,3432178,5614921
7550,1380,3535123,5567313
4200,2340,3426004,5530293
6900,6550,3409586,5607238
2725,2340,3466241,5558556
4200,3550,3457381,5552816
2420,1988,3481893,5556943
3200,2950,3447680,5506495
4200,2725,3381564,5574223
2950,2725,3387418,5569603
7550,1380,3472048,5552458
2563,2340,3452313,5410696
4200,3550,3388201,5581198
3200,2725,3480732,5559793
1980,1560,3433414,5462624
3250,2975,3500267,5581913
4200,3550,3426282,5528400
2563,2420,3471731,5558309
7550,6200,3548958,5579006
3200,2950,3522601,5531050
7550,6200,3461400,5536709
5800,5300,3445747,5550389
6200,4200,3513722,5608369
1980,1560,3415396,5599920
4450,4200,3451032,5559273
2563,2420,3418735,5451741
4200,3550,3469496,5551657
2420,1988,3485789,5557949
2485,2340,3453777,5562393
2563,2340,3471641,5558180
4200,2725,3457755,5443285
7450,6850,3500237,5549106
1980,1560,3508432,5556987
3200,2950,3518243,5533206
4200,3550,3555752,5540500
7550,6200,3429808,5523465
2950,2725,3522629,5533538
2420,1988,3477246,5544868
7550,1380,3471980,5559130
5800,5300,3445126,5557161
3250,2975,3558972,5538430
4200,2725,3385023,5576914
6950,6200,3554205,5534632
3200,2950,3480153,5559701
2420,1988,3497124,5550973
7550,4250,3486845,5556979
2950,2725,3460475,5462721
7550,1380,3472363,5552323
4200,2725,3493085,5586497
5000,4800,3518243,5533206
4200,3550,3493269,5552730
2420,1988,3437768,5463728
7550,1380,3558740,5561376
7550,6200,3431929,5525687
4200,2340,3427654,5519867
7450,6850,3588149,5530163
6900,6550,3497471,5542575
3200,2950,3477140,5547779
7550,1380,3474978,5563082
7450,6850,3379438,5494740
7550,1380,3553018,5534191
3200,2950,3482153,5559175
2420,1988,3408768,5605007
3200,2750,3551702,5537522
2725,2340,3409025,5581517
2950,2725,3441557,5478873
7550,1380,3470709,5552867
6900,6550,3451754,5551018
2420,1988,3383024,5572058
7550,1380,3463330,5442625
7450,6850,3516902,5538587
2925,2700,3358943,5509852
4200,3550,3466940,5558025
1980,1958,3494191,5582935
7550,1380,3454080,5545657
5800,5300,3510228,5569418
7450,6850,3378925,5514987
7550,6200,3496343,5586471
2420,1988,3475158,5475568
6900,6550,3522788,5537170
2725,2340,3396470,5578640
3200,2950,3392924,5525132
2563,2420,3354646,5490762
3200,2725,3427218,5529413
3200,2725,3422177,5528450
7450,6850,3525438,5528648
6900,6550,3525590,5537975
7550,1380,3433915,5448923
7550,1380,3435086,5594788
2725,2563,3460920,5547990
3200,2750,3423314,5608032
5000,4800,3394416,5521524
3200,2950,3386184,5500709
7450,6850,3427144,5532611
1760,1560,3624017,5504279
5000,4800,3375458,5543136
7450,6850,3420510,5527739
7450,6850,3426639,5525314
1980,1760,3461656,5537022
3200,2950,3410273,5606764
2420,1988,3431813,5525523
1980,1560,3528997,5573649
4200,3550,3449565,5563599
2485,2340,3528088,5531488
6200,4200,3473081,5550967
2950,2725,3449268,5556255
2725,2340,3447337,5505808
6900,6550,3506072,5605433
7450,6850,3464217,5572438
2750,2485,3509345,5594444
5800,5300,3557128,5535991
2725,2340,3457068,5552816
2420,1988,3468705,5544083
1980,1760,3465957,5558482
3250,2975,3565840,5536786
2420,2340,3371434,5516752
4200,2725,3340764,5496182
3200,2950,3432240,5524892
6200,2725,3423479,5528714
4200,2340,3463484,5559720
5800,5300,3567496,5531897
2485,2340,3374082,5480931
2950,2725,3470440,5553259
2420,1988,3440003,5487117
6900,6550,3371340,5503829
2420,1988,3426764,5609642
2725,2340,3407814,5607886
4200,3550,3460825,5460788
2205,2070,3528398,5578485
